DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
actenstuecke,Actenstücke,Actenstücke,FALSE,FALSE,,,,,
aegyptus,Aegyptus,Aegyptus,FALSE,FALSE,,,,,
anagennesis,Anagennesis,Anagennesis,FALSE,FALSE,,,,,
analpap,AnalPap,Analecta Papyrologica,TRUE,FALSE,,,,,
ancsoc,AncSoc,Ancient Society,TRUE,FALSE,,,,,
p.testi.med,P.Testi Med.,"Andorlini (ed.), Testi medici su papiro. Atti del seminario di studio Firenze 2002",TRUE,FALSE,,,,,
p.edg,P.Edg. $1,"Annales du Service des antiquités de l'Égypte \(ASAE\) \d{2} \(\d{4}\), p\. [-0-9]+ \(Zenon (\d+)\)",TRUE,TRUE,,,,,
asae;26,ASAE 26,Annales du Service des antiquités de l'Égypte (ASAE) 26 (1926),TRUE,FALSE,,,,,
apf,APF,Archiv für Papyrusforschung (AfP),TRUE,FALSE,,,,,
arctos,Arctos,Arctos,FALSE,FALSE,,,,,
bifao,BIFAO,Bulletin de l'Institut français d'archéologie orientale (BIFAO),TRUE,FALSE,,,,,
bsac,BSAC,Bulletin de la Société d'archéologie copte (BSAC),TRUE,FALSE,,,,,
basp,BASP,Bulletin of the American Society of Papyrologists (BASP),TRUE,FALSE,,,,,
bacps,BACPS,Bulletin of the Center of Papyrological Studies (BACPS),TRUE,FALSE,,,,,
c.etiq.mom,C.Étiq.Mom.,C. Étiq. Mom.,TRUE,FALSE,,,,,
c.gloss.biling,C.Gloss.Biling.,C. Gloss. Biling.,TRUE,FALSE,,,,,
c.clerge,C.Clergé,C. Pap. Gr. Clergé,TRUE,FALSE,,,,,
c.pap.gr,C.Pap.Gr.,C. Pap. Gr.,TRUE,FALSE,,,,,
cripel;1,CRIPEL 1,Cahier de rech. de l'Inst. de pap. et égypt. de Lille (CRIPEL) 1 (1973),TRUE,FALSE,,,,,
t.mom.louvre,T.Mom.Louvre,"Cahier de rech\. de l'Inst\. de pap\. et égypt\. de Lille \(CRIPEL\) 3 \(197\d\), p. \d+ no\. CEML",TRUE,TRUE,,,,,
pap.lup;11,Pap.Lup. 11,"Capasso (ed.), Dal restauro dei materiali (Pap. Lup. 11)",TRUE,FALSE,,,,,
pap.lup;2,Pap.Lup. 2,"Capasso (ed.), Papiri documentari greci (Pap. Lup. 2)",TRUE,FALSE,,,,,
pap.lup;6,Pap.Lup. 6,"Capasso (ed.), Ricerche di papirologia letteraria e documentaria (Pap. Lup. 6)",TRUE,FALSE,,,,,
o.sok.nes,O.Sok.Nes.,"Capasso / Davoli (ed.), Soknopaiou Nesos project II",TRUE,FALSE,,,,,
pap.lup;9,Pap.Lup. 9,"Capasso / Pernigotti (ed.), Studium atque urbanitas. Fs. Sergio Daris (Pap. Lup. 9) p.",TRUE,FALSE,,,,,
pap.flor;19,Pap.Flor. 19,"Capasso e.a. (ed.), Miscellanea papyrologica (Pap. Flor. 19)",TRUE,FALSE,,,,,
c.pap.lat,C.Pap.Lat.,"Cavenaile, Corpus papyrorum Latinarum (CPL)",TRUE,FALSE,,,,,
pap.flor;29,Pap.Flor. 29,"Chapa, Letters of condolence",TRUE,FALSE,,,,,
chla,Ch.L.A.,Chartae Latinae antiquiores (ChLA),TRUE,FALSE,,,,,
chiron,Chiron,Chiron,FALSE,FALSE,,,,,
chrest.mitt,Chrest.Mitt.,Chrest. Mitt.,FALSE,FALSE,,,,,
chrest.wilck,Chrest.Wilck.,Chrest. Wilck.,FALSE,FALSE,,,,,
cde,CdÉ,Chronique d'Égypte (CdE),TRUE,FALSE,,,,,
psi.com;11,PSI Com. 11,Comunicazioni dell' Istituto Papirologico G. Vitelli 11 (2013),TRUE,FALSE,,,,,
copt.congr;8,CoptCongr. 8,Copt. Congr. VIII (Paris 2004),TRUE,FALSE,,,,,
cpf,CPF,Corpus dei papiri filosofici (CPF),TRUE,FALSE,,,,,
c.lat.text.pap,C.Lat.Text.Pap.,Corpus of Latin Texts on Papyrus (CLTP),TRUE,FALSE,,,,,
c.pap.jud,C.Pap.Jud.,CPJ,TRUE,FALSE,,,,,
cpr,CPR,CPR,FALSE,FALSE,,,,,
c.ptol.sklav,C.Ptol.Sklav.,CPS,TRUE,FALSE,,,,,
am.stud.pap;36,Am.Stud.Pap. 36,"Cribiore, Writing, teachers, and students",TRUE,FALSE,,,,,
p.sarga,P.Sarga $1,"Crum / Bell, Wadi Sarga (12|16|19|96|128|166|176)",TRUE,TRUE,"all papyri bar one now in papyri.info. see sheet ""o/pSarga"": https://docs.google.com/spreadsheets/d/1TuXgV4vm_UYzhG80L_qpEkXdcHTXgvXKdPk8QghMJTc/edit?gid=1425819820#gid=1425819820",,,,
o.sarga,O.Sarga,"Crum / Bell, Wadi Sarga",TRUE,FALSE,,,,,
o.cair.monuments,O.Cair.Monuments,"Crum, Coptic monuments (CGC)",TRUE,FALSE,,,,,
c.epist.lat,C.Epist.Lat.,"Cugusi, Corpus epistularum Latinarum (CEL) 1",TRUE,FALSE,Are we transitioning to c.epist.lat;1?,,,no just c.epist.lat,has been done
doc.eser.rom,Doc.Eser.Rom.,"Daris, Documenti per la storia dell' esercito romano in Egitto",TRUE,FALSE,,,,,
pap.brux;34,Pap.Brux. 34,"Delattre / Heilporn (ed.), Thèbes (Pap. Brux. 34)",TRUE,FALSE,,,,,
evo,EVO,Egitto e Vicino Oriente (EVO),TRUE,FALSE,,,,,
enchoria,Enchoria,Enchoria,FALSE,FALSE,,,,,
am.stud.pap;1,Am.Stud.Pap. 1,(Essays Bradford Welles \(American Studies in Papyrology 1\)|Essays in honor of C\. Bradford Welles 1),TRUE,TRUE,,,,,
